"name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
"Zen-East in the Heart of Austin (monthly rental)",2466,"Paddy",null,78702,30.27752,-97.71377,"Entire home/apt",179,7,26,"2021-07-02",0.36,3,35,2,null
"""Eco friendly, Colorful, Clean, Cozy monthly share""",2466,"Paddy",null,78702,30.27614,-97.7132,"Private room",114,30,9,"2017-02-24",0.21,3,0,0,null
"""Walk to 6th, Rainey St and Convention Ctr""",8028,"Sylvia",null,78702,30.26057,-97.73441,"Entire home/apt",108,2,575,"2021-09-25",24.16,1,324,39,null
"NW Austin Room",8186,"Elizabeth",null,78729,30.45697,-97.78422,"Private room",39,1,264,"2021-07-03",5.95,1,0,7,null
"Gem of a Studio near Downtown",13879,"Todd",null,78704,30.24885,-97.73587,"Entire home/apt",109,3,117,"2021-04-02",1.27,1,0,4,null
"""Secluded Studio @ Zilker - King Bed, Bright & Airy""",14156,"Amy",null,78704,30.26034,-97.76487,"Entire home/apt",146,3,254,"2021-10-04",2.06,1,201,22,null
"Woodland Studio Lodging",25298,"Karen",null,78741,30.23466,-97.73682,"Entire home/apt",44,3,46,"2019-05-28",1.08,1,59,0,null
"Historic house in highly walkable East Austin",50793,"Molly",null,78702,30.26098,-97.73072,"Entire home/apt",150,30,12,"2017-03-18",0.11,2,331,0,null
"Quiet Mid Century Modern Retreat with Patio and Yard",80406,"Dani",null,78704,30.24417,-97.73988,"Entire home/apt",232,1,126,"2021-09-17",2.06,12,132,18,null
"Close in Hill country views NW",84906,"Stacey",null,78759,30.38794,-97.76358,"Entire home/apt",153,30,11,"2021-01-10",0.08,1,107,1,null
"Garage Apartment near S Congress",56488,"David",null,78741,30.23614,-97.73225,"Entire home/apt",58,31,44,"2021-09-28",0.33,1,233,7,null
"""OUTDOOR LIVING IN AUSTIN, TX""",170787,"Robbie",null,78731,30.35123,-97.76207,"Entire home/apt",350,2,32,"2021-04-18",0.29,1,325,2,null
"Cozy Home in  N. Austin for Longer Stays",215917,"Belinda",null,78758,30.37783,-97.70749,"Private room",35,30,5,"2021-03-28",0.16,1,266,1,null
"Scooby Doo House",12409,"Flip",null,78705,30.28588,-97.75145,"Entire home/apt",117,30,30,"2019-10-15",0.47,2,328,0,null
"""Zilker Park, Fun, Funky, Colorful, Peaceful Haven""",272156,"Lois",null,78704,30.25756,-97.76995,"Entire home/apt",102,1,810,"2021-10-13",20.45,2,240,122,null
"Colorful and Quirky Zilker Park Townhouse",272156,"Lois",null,78704,30.26146,-97.77276,"Entire home/apt",149,2,146,"2021-09-26",125.14,2,241,35,null
"Enchanting Zilker Cottage~Downtown",347068,"Particular Properties",null,78704,30.25811,-97.76368,"Entire home/apt",299,2,390,"2018-05-24",3.05,2,330,0,null
"""Live Beneath Live Oaks in a Bright, Intimate House""",82762,"Dolina",null,78704,30.2309,-97.76619,"Entire home/apt",129,2,441,"2020-03-14",8.73,1,19,0,null
"South 1st Garage Apartment - Ideally Central",355348,"Jason",null,78704,30.23644,-97.76611,"Entire home/apt",346,2,35,"2021-06-22",0.71,1,26,5,null
"1 Bedroom Apt; Above the Studio",268988,"Stephanie",null,78704,30.24648,-97.74913,"Entire home/apt",150,2,156,"2021-10-10",2.3,1,65,13,null
"""Private, Detached, Central Austin Cottage""",378744,"Ellen And Andy",null,78731,30.313,-97.75066,"Entire home/apt",101,1,371,"2021-09-26",8.26,1,166,19,null
"3BR Convenient Gated Townhome w/ Pool Access!",128514,"Vivian",null,78727,30.41419,-97.73183,"Entire home/apt",280,2,37,"2021-10-03",0.77,1,324,11,null
"Simple 2/2 in Central Austin",382510,"Christina",null,78705,30.29016,-97.74478,"Entire home/apt",97,30,53,"2021-07-31",0.48,2,263,6,null
"Private Guest House 78704",387918,"Amy & Justin",null,78704,30.24473,-97.77923,"Entire home/apt",197,2,232,"2021-10-03",2.5,2,261,24,null
"Charming 1 Bedroom Cottage Apt In Tarrytown",404260,"Kelly",null,78703,30.29033,-97.76886,"Entire home/apt",121,2,359,"2021-10-10",6.05,1,311,50,null
"Chic 2 Bdrm DwnTwn where Airbnb CEO stayed twice.",177441,"Ash",null,78703,30.27678,-97.75805,"Entire home/apt",243,2,233,"2021-10-03",1.92,2,345,30,null
"Upstairs Flat in Central Austin",408534,"Kevin And Bob",null,78722,30.29192,-97.71939,"Entire home/apt",103,2,195,"2021-10-10",2.34,1,183,17,null
"EastSideLavishness- A Stay of Comfort and Joy",394012,"Cole",null,78702,30.26945,-97.72491,"Entire home/apt",636,2,156,"2021-09-26",2.91,1,326,14,null
"Comfy Digs in East Austin",411190,"Lynn",null,78702,30.25505,-97.72552,"Entire home/apt",400,2,16,"2019-05-27",0.14,1,0,0,null
"The Travis Heights Tree House",1665428,"Krista",null,78704,30.23872,-97.74521,"Entire home/apt",80,20,44,"2021-05-22",0.35,1,179,3,null
"Room or rooms",382265,"Leslie",null,78733,30.33877,-97.882,"Private room",104,2,0,null,null,1,319,0,null
"Sweet South Austin Spot",416628,"Carlos",null,78704,30.25023,-97.77985,"Entire home/apt",179,2,36,"2021-09-11",0.42,1,324,14,null
"Modern Gem featured by Dwell. Pool + HotTub.",419192,"Keith And Shannon",null,78704,30.25659,-97.76772,"Entire home/apt",750,4,90,"2020-04-23",2.39,1,0,0,null
"Downtown Luxury Home/ Clean/ PERFECT LOCATION",419707,"Julia",null,78701,30.27672,-97.74799,"Entire home/apt",240,1,6,"2019-05-26",0.05,3,0,0,null
"Living the Dream on Richardine (East Austin)",421002,"E. Dixie",null,78702,30.27443,-97.71135,"Entire home/apt",75,7,4,"2021-05-01",1.13,1,11,3,null
"Cool Hyde Park efficiency apartment",423840,"Marcus",null,78751,30.31106,-97.72373,"Entire home/apt",106,2,355,"2021-10-10",2.75,1,18,17,null
"Beautiful Zilker Park Condo next to Downtown!",2157243,"Sean",null,78704,30.26126,-97.77358,"Entire home/apt",134,2,156,"2021-10-07",1.31,9,116,16,null
"Bungalow-Pool-Central East-51st Area",425706,"Robert",null,78723,30.30933,-97.6952,"Entire home/apt",138,30,28,"2021-10-09",0.27,4,53,6,null
"Beautiful Bouldin Cottage - 78704",428883,"Beau",null,78704,30.24948,-97.75896,"Entire home/apt",182,2,111,"2021-09-25",0.87,1,232,32,null
"East-Side Bungalow",430091,"Shawn",null,78702,30.26035,-97.73253,"Entire home/apt",225,4,34,"2019-03-11",0.4,2,0,0,null
"Central Austin Home",436771,"Merlyn",null,78703,30.28251,-97.76874,"Entire home/apt",150,30,0,null,null,1,0,0,null
"""Clean and quiet 3/2, in Mueller area.""",445746,"Kimberly",null,78723,30.30393,-97.68872,"Entire home/apt",400,2,4,"2018-04-28",0.87,1,176,1,null
"Fun Central Austin Convenience",456230,"Michele",null,78752,30.32395,-97.71851,"Private room",57,2,208,"2021-10-04",3.9,1,331,28,null
"Campus Retreat",321037,"Lucien",null,78705,30.29386,-97.74188,"Entire home/apt",81,2,16,"2018-01-03",0.35,2,0,0,null
"""2 Living Rooms, Lots of Big Beds! 3 king, 2 queen""",487072,"Greg & Amanda",null,78757,30.35681,-97.72618,"Entire home/apt",329,30,116,"2020-04-11",2.7,14,0,0,null
